"","gdenr","gemeinde_d","value","pct_gde","top_names_table"
"248",437,"Mont-Tramelan",23,21.1,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Gerber $/td£ $td£ 23 $/td£  $td£ 21.1% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Hofstetter $/td£ $td£ 10 $/td£  $td£ 9.17% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Scheidegger $/td£ $td£ 6 $/td£  $td£ 5.5% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Gyger $/td£ $td£ 5 $/td£  $td£ 4.59% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ von Allmen $/td£ $td£ 5 $/td£  $td£ 4.59% $/td£ $/tr£¢ $/table£"
"249",438,"Orvin",66,5.42,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Léchot $/td£ $td£ 66 $/td£  $td£ 5.42% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Aufranc $/td£ $td£ 36 $/td£  $td£ 2.96% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Boder $/td£ $td£ 32 $/td£  $td£ 2.63% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Mottet $/td£ $td£ 29 $/td£  $td£ 2.38% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Devaux $/td£ $td£ 27 $/td£  $td£ 2.22% $/td£ $/tr£¢ $/table£"
"250",441,"Renan BE",16,1.65,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Hämmerli $/td£ $td£ 16 $/td£  $td£ 1.65% $/td£ $/tr£§ $tr£ $td£ 1. $/td£ $td£ Oppliger $/td£ $td£ 16 $/td£  $td£ 1.65% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Steiner $/td£ $td£ 13 $/td£  $td£ 1.34% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Cattin $/td£ $td£ 12 $/td£  $td£ 1.24% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Passera $/td£ $td£ 11 $/td£  $td£ 1.14% $/td£ $/tr£¢ $/table£"
"251",442,"Romont BE",8,3.64,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Benoit $/td£ $td£ 8 $/td£  $td£ 3.64% $/td£ $/tr£§ $tr£ $td£ 1. $/td£ $td£ Sperisen $/td£ $td£ 8 $/td£  $td£ 3.64% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Kohler $/td£ $td£ 5 $/td£  $td£ 2.27% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Schenk $/td£ $td£ 5 $/td£  $td£ 2.27% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Simon $/td£ $td£ 5 $/td£  $td£ 2.27% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Triponez $/td£ $td£ 5 $/td£  $td£ 2.27% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Zanella $/td£ $td£ 5 $/td£  $td£ 2.27% $/td£ $/tr£
¢ $/table£"
"252",443,"St. Immer",34,0.67,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ da Silva $/td£ $td£ 34 $/td£  $td£ 0.67% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Berisha $/td£ $td£ 33 $/td£  $td£ 0.65% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Bourquin $/td£ $td£ 33 $/td£  $td£ 0.65% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Perret $/td£ $td£ 28 $/td£  $td£ 0.55% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Gerber $/td£ $td£ 27 $/td£  $td£ 0.53% $/td£ $/tr£¢ $/table£"
"253",444,"Sonceboz-Sombeval",22,1.14,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Gerber $/td£ $td£ 22 $/td£  $td£ 1.14% $/td£ $/tr£§ $tr£ $td£ 1. $/td£ $td£ Zürcher $/td£ $td£ 22 $/td£  $td£ 1.14% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Vorpe $/td£ $td£ 19 $/td£  $td£ 0.98% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Schnegg $/td£ $td£ 18 $/td£  $td£ 0.93% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Liechti $/td£ $td£ 14 $/td£  $td£ 0.72% $/td£ $/tr£¢ $/table£"
"254",445,"Sonvilier",23,1.9,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Oppliger $/td£ $td£ 23 $/td£  $td£ 1.9% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Steiner $/td£ $td£ 18 $/td£  $td£ 1.49% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Geiser $/td£ $td£ 16 $/td£  $td£ 1.32% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Jeanneret $/td£ $td£ 16 $/td£  $td£ 1.32% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Isler $/td£ $td£ 15 $/td£  $td£ 1.24% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Roth $/td£ $td£ 15 $/td£  $td£ 1.24% $/td£ $/tr£¢ $/table£"
"255",446,"Tramelan",130,2.8,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Vuilleumier $/td£ $td£ 130 $/td£  $td£ 2.8% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Gerber $/td£ $td£ 57 $/td£  $td£ 1.23% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Chatelain $/td£ $td£ 56 $/td£  $td£ 1.21% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Mathez $/td£ $td£ 53 $/td£  $td£ 1.14% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Droz $/td£ $td£ 44 $/td£  $td£ 0.95% $/td£ $/tr£¢ $/table£"
"256",448,"Villeret",23,2.48,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Gerber $/td£ $td£ 23 $/td£  $td£ 2.48% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Chatelain $/td£ $td£ 15 $/td£  $td£ 1.61% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Kämpf $/td£ $td£ 11 $/td£  $td£ 1.18% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Müller $/td£ $td£ 11 $/td£  $td£ 1.18% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Zürcher $/td£ $td£ 11 $/td£  $td£ 1.18% $/td£ $/tr£¢ $/table£"
"257",449,"Sauge",54,6.59,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Grosjean $/td£ $td£ 54 $/td£  $td£ 6.59% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Huguelet $/td£ $td£ 18 $/td£  $td£ 2.2% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Voiblet $/td£ $td£ 18 $/td£  $td£ 2.2% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Olomani $/td£ $td£ 12 $/td£  $td£ 1.46% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Villard $/td£ $td£ 11 $/td£  $td£ 1.34% $/td£ $/tr£¢ $/table£"
"258",450,"Péry-La Heutte",38,1.99,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Bessire $/td£ $td£ 38 $/td£  $td£ 1.99% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Grosjean $/td£ $td£ 25 $/td£  $td£ 1.31% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Danz $/td£ $td£ 14 $/td£  $td£ 0.73% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Steiner $/td£ $td£ 13 $/td£  $td£ 0.68% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Müller $/td£ $td£ 12 $/td£  $td£ 0.63% $/td£ $/tr£¢ $/table£"
"259",491,"Brüttelen",37,6.14,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Hämmerli $/td£ $td£ 37 $/td£  $td£ 6.14% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Weber $/td£ $td£ 23 $/td£  $td£ 3.81% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Moser $/td£ $td£ 18 $/td£  $td£ 2.99% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Hübscher $/td£ $td£ 12 $/td£  $td£ 1.99% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Jampen $/td£ $td£ 10 $/td£  $td£ 1.66% $/td£ $/tr£¢ $/table£"
"260",492,"Erlach",21,1.51,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Gerber $/td£ $td£ 21 $/td£  $td£ 1.51% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Steiner $/td£ $td£ 14 $/td£  $td£ 1.01% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Lüthi $/td£ $td£ 12 $/td£  $td£ 0.86% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Kocher $/td£ $td£ 10 $/td£  $td£ 0.72% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Kohler $/td£ $td£ 10 $/td£  $td£ 0.72% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Marolf $/td£ $td£ 10 $/td£  $td£ 0.72% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Wüthrich $/td£ $td£ 10 $/td£  $td£ 0.72% $/td£ $/tr£
¢ $/table£"
"261",493,"Finsterhennen",52,8.89,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Probst $/td£ $td£ 52 $/td£  $td£ 8.89% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Gross $/td£ $td£ 17 $/td£  $td£ 2.91% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Balimann $/td£ $td£ 10 $/td£  $td£ 1.71% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Schwab $/td£ $td£ 10 $/td£  $td£ 1.71% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Meier $/td£ $td£ 9 $/td£  $td£ 1.54% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Müller $/td£ $td£ 9 $/td£  $td£ 1.54% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Teixeira $/td£ $td£ 9 $/td£  $td£ 1.54% $/td£ $/tr£
¢ $/table£"
"262",494,"Gals",33,3.93,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Schwab $/td£ $td£ 33 $/td£  $td£ 3.93% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Schreyer $/td£ $td£ 21 $/td£  $td£ 2.5% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Freudiger $/td£ $td£ 12 $/td£  $td£ 1.43% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Schweizer $/td£ $td£ 10 $/td£  $td£ 1.19% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Steiner $/td£ $td£ 10 $/td£  $td£ 1.19% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Tribolet $/td£ $td£ 10 $/td£  $td£ 1.19% $/td£ $/tr£¢ $/table£"
"263",495,"Gampelen",26,2.73,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Ramqaj $/td£ $td£ 26 $/td£  $td£ 2.73% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Dietrich $/td£ $td£ 20 $/td£  $td£ 2.1% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Tschilar $/td£ $td£ 13 $/td£  $td£ 1.36% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ da Silva $/td£ $td£ 12 $/td£  $td£ 1.26% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Künzli $/td£ $td£ 12 $/td£  $td£ 1.26% $/td£ $/tr£¢ $/table£"
"264",496,"Ins",50,1.39,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Gugger $/td£ $td£ 50 $/td£  $td£ 1.39% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Schwab $/td£ $td£ 47 $/td£  $td£ 1.31% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Jakob $/td£ $td£ 44 $/td£  $td£ 1.22% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Hämmerli $/td£ $td£ 37 $/td£  $td£ 1.03% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Jenni $/td£ $td£ 37 $/td£  $td£ 1.03% $/td£ $/tr£¢ $/table£"
"265",497,"Lüscherz",59,10.57,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Grimm $/td£ $td£ 59 $/td£  $td£ 10.57% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Dubler $/td£ $td£ 23 $/td£  $td£ 4.12% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Schneider $/td£ $td£ 14 $/td£  $td£ 2.51% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Mügeli $/td£ $td£ 13 $/td£  $td£ 2.33% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Anker $/td£ $td£ 9 $/td£  $td£ 1.61% $/td£ $/tr£¢ $/table£"
"266",498,"Müntschemier",60,3.75,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Niklaus $/td£ $td£ 60 $/td£  $td£ 3.75% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Löffel $/td£ $td£ 48 $/td£  $td£ 3% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Jampen $/td£ $td£ 42 $/td£  $td£ 2.63% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Schwab $/td£ $td£ 32 $/td£  $td£ 2% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Probst $/td£ $td£ 21 $/td£  $td£ 1.31% $/td£ $/tr£¢ $/table£"
"267",499,"Siselen",98,15.93,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Schwab $/td£ $td£ 98 $/td£  $td£ 15.93% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Winkelmann $/td£ $td£ 33 $/td£  $td£ 5.37% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Müller $/td£ $td£ 13 $/td£  $td£ 2.11% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Meyer $/td£ $td£ 11 $/td£  $td£ 1.79% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Weber $/td£ $td£ 9 $/td£  $td£ 1.46% $/td£ $/tr£¢ $/table£"
"268",500,"Treiten",31,7.33,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Gross $/td£ $td£ 31 $/td£  $td£ 7.33% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Schumacher $/td£ $td£ 25 $/td£  $td£ 5.91% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Weber $/td£ $td£ 24 $/td£  $td£ 5.67% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Peter $/td£ $td£ 12 $/td£  $td£ 2.84% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Aebersold $/td£ $td£ 10 $/td£  $td£ 2.36% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Brandt $/td£ $td£ 10 $/td£  $td£ 2.36% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Schneeberger $/td£ $td£ 10 $/td£  $td£ 2.36% $/td£ $/tr£
¢ $/table£"
"269",501,"Tschugg",10,2.12,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Garo $/td£ $td£ 10 $/td£  $td£ 2.12% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Bönzli $/td£ $td£ 7 $/td£  $td£ 1.49% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Ritter $/td£ $td£ 7 $/td£  $td£ 1.49% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Studer $/td£ $td£ 7 $/td£  $td£ 1.49% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Diessel $/td£ $td£ 6 $/td£  $td£ 1.27% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Maeder $/td£ $td£ 6 $/td£  $td£ 1.27% $/td£ $/tr£¢ $/table£"
"270",502,"Vinelz",34,3.87,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Gutmann $/td£ $td£ 34 $/td£  $td£ 3.87% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Schneider $/td£ $td£ 20 $/td£  $td£ 2.28% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Meuter $/td£ $td£ 16 $/td£  $td£ 1.82% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Bloch $/td£ $td£ 15 $/td£  $td£ 1.71% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Studer $/td£ $td£ 12 $/td£  $td£ 1.37% $/td£ $/tr£¢ $/table£"
"271",533,"Bätterkinden",38,1.15,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Knuchel $/td£ $td£ 38 $/td£  $td£ 1.15% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Schneider $/td£ $td£ 34 $/td£  $td£ 1.03% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Müller $/td£ $td£ 30 $/td£  $td£ 0.9% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Hofer $/td£ $td£ 22 $/td£  $td£ 0.66% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Gerber $/td£ $td£ 21 $/td£  $td£ 0.63% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Lüthi $/td£ $td£ 21 $/td£  $td£ 0.63% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Marti $/td£ $td£ 21 $/td£  $td£ 0.63% $/td£ $/tr£§ 
$tr£ $td£ 5. $/td£ $td£ Siegenthaler $/td£ $td£ 21 $/td£  $td£ 0.63% $/td£ $/tr£¢ $/table£"
"272",535,NA,7,8.05,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Stucki $/td£ $td£ 7 $/td£  $td£ 8.05% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ König $/td£ $td£ 6 $/td£  $td£ 6.9% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Rufer $/td£ $td£ 5 $/td£  $td£ 5.75% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Bühlmann $/td£ $td£ 4 $/td£  $td£ 4.6% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Hüsser $/td£ $td£ 4 $/td£  $td£ 4.6% $/td£ $/tr£¢ $/table£"
"273",536,NA,13,6.37,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Vogt $/td£ $td£ 13 $/td£  $td£ 6.37% $/td£ $/tr£§ $tr£ $td£ 1. $/td£ $td£ Walther $/td£ $td£ 13 $/td£  $td£ 6.37% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Münger $/td£ $td£ 8 $/td£  $td£ 3.92% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Minder $/td£ $td£ 6 $/td£  $td£ 2.94% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Weibel $/td£ $td£ 6 $/td£  $td£ 2.94% $/td£ $/tr£¢ $/table£"
"274",538,"Fraubrunnen",72,1.35,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Marti $/td£ $td£ 72 $/td£  $td£ 1.35% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Messer $/td£ $td£ 58 $/td£  $td£ 1.09% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Studer $/td£ $td£ 49 $/td£  $td£ 0.92% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Kunz $/td£ $td£ 46 $/td£  $td£ 0.86% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Glauser $/td£ $td£ 45 $/td£  $td£ 0.84% $/td£ $/tr£¢ $/table£"
"275",540,"Jegenstorf",48,0.83,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Müller $/td£ $td£ 48 $/td£  $td£ 0.83% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Moser $/td£ $td£ 33 $/td£  $td£ 0.57% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Iseli $/td£ $td£ 31 $/td£  $td£ 0.54% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Hofer $/td£ $td£ 30 $/td£  $td£ 0.52% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Weber $/td£ $td£ 30 $/td£  $td£ 0.52% $/td£ $/tr£¢ $/table£"
"276",541,"Iffwil",29,6.74,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ König $/td£ $td£ 29 $/td£  $td£ 6.74% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Gerber $/td£ $td£ 15 $/td£  $td£ 3.49% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Junker $/td£ $td£ 12 $/td£  $td£ 2.79% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Aebi $/td£ $td£ 10 $/td£  $td£ 2.33% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Imhof $/td£ $td£ 10 $/td£  $td£ 2.33% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Ingold $/td£ $td£ 10 $/td£  $td£ 2.33% $/td£ $/tr£¢ $/table£"
"277",543,"Mattstetten",10,1.72,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Meyer $/td£ $td£ 10 $/td£  $td£ 1.72% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Aeberhard $/td£ $td£ 9 $/td£  $td£ 1.55% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Schneider $/td£ $td£ 9 $/td£  $td£ 1.55% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Steiner $/td£ $td£ 9 $/td£  $td£ 1.55% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Schlup $/td£ $td£ 8 $/td£  $td£ 1.37% $/td£ $/tr£¢ $/table£"
